Date,High,Low,Open,Close,Volume,Adj Close
2021-01-01,29600.626953125,28803.5859375,28994.009765625,29374.15234375,40730301359,29374.15234375
2021-01-02,33155.1171875,29091.181640625,29376.455078125,32127.267578125,67865420765,32127.267578125
2021-01-03,34608.55859375,32052.31640625,32129.408203125,32782.0234375,78665235202,32782.0234375
2021-01-04,33440.21875,28722.755859375,32810.94921875,31971.9140625,81163475344,31971.9140625
2021-01-05,34437.58984375,30221.1875,31977.041015625,33992.4296875,67547324782,33992.4296875
2021-01-06,36879.69921875,33514.03515625,34013.61328125,36824.36328125,75289433811,36824.36328125
2021-01-07,40180.3671875,36491.19140625,36833.875,39371.04296875,84762141031,39371.04296875
2021-01-08,41946.73828125,36838.63671875,39381.765625,40797.609375,88107519480,40797.609375
2021-01-09,41436.3515625,38980.875,40788.640625,40254.546875,61984162837,40254.546875
2021-01-10,41420.19140625,35984.62890625,40254.21875,38356.44140625,79980747690,38356.44140625
2021-01-11,38346.53125,30549.599609375,38346.53125,35566.65625,123320567399,35566.65625
2021-01-12,36568.52734375,32697.9765625,35516.359375,33922.9609375,74773277909,33922.9609375
2021-01-13,37599.9609375,32584.66796875,33915.12109375,37316.359375,69364315979,37316.359375
2021-01-14,39966.40625,36868.5625,37325.109375,39187.328125,63615990033,39187.328125
2021-01-15,39577.7109375,34659.58984375,39156.70703125,36825.3671875,67760757881,36825.3671875
2021-01-16,37864.3671875,35633.5546875,36821.6484375,36178.140625,57706187875,36178.140625
2021-01-17,36722.3515625,34069.3203125,36163.6484375,35791.27734375,52359854336,35791.27734375
2021-01-18,37299.28515625,34883.84375,35792.23828125,36630.07421875,49511702429,36630.07421875
2021-01-19,37755.890625,36069.8046875,36642.234375,36069.8046875,57244195486,36069.8046875
2021-01-20,36378.328125,33570.4765625,36050.11328125,35547.75,66834573161,35547.75
2021-01-21,35552.6796875,30250.75,35549.3984375,30825.69921875,75643067688,30825.69921875
2021-01-22,33811.8515625,28953.373046875,30817.625,33005.76171875,77207272511,33005.76171875
2021-01-23,33360.9765625,31493.16015625,32985.7578125,32067.642578125,48354737975,32067.642578125
2021-01-24,32944.0078125,31106.685546875,32064.376953125,32289.37890625,48643830599,32289.37890625
2021-01-25,34802.7421875,32087.787109375,32285.798828125,32366.392578125,59897054838,32366.392578125
2021-01-26,32794.55078125,31030.265625,32358.61328125,32569.849609375,60255421470,32569.849609375
2021-01-27,32564.029296875,29367.138671875,32564.029296875,30432.546875,62576762015,30432.546875
2021-01-28,31891.30078125,30023.20703125,30441.041015625,31649.60546875,78948162368,31649.60546875
2021-01-29,38406.26171875,32064.814453125,34318.671875,34316.38671875,117894572511,34316.38671875
2021-01-30,34834.70703125,32940.1875,34295.93359375,34269.5234375,65141828798,34269.5234375
2021-01-31,34288.33203125,32270.17578125,34270.87890625,33114.359375,52754542671,33114.359375
2021-02-01,34638.21484375,32384.228515625,33114.578125,33537.17578125,61400400660,33537.17578125
2021-02-02,35896.8828125,33489.21875,33533.19921875,35510.2890625,63088585433,35510.2890625
2021-02-03,37480.1875,35443.984375,35510.8203125,37472.08984375,61166818159,37472.08984375
2021-02-04,38592.17578125,36317.5,37475.10546875,36926.06640625,68838074392,36926.06640625
2021-02-05,38225.90625,36658.76171875,36931.546875,38144.30859375,58598066402,38144.30859375
2021-02-06,40846.546875,38138.38671875,38138.38671875,39266.01171875,71326033653,39266.01171875
2021-02-07,39621.8359375,37446.15234375,39250.19140625,38903.44140625,65500641143,38903.44140625
2021-02-08,46203.9296875,38076.32421875,38886.828125,46196.46484375,101467222687,46196.46484375
2021-02-09,48003.72265625,45166.9609375,46184.9921875,46481.10546875,91809846886,46481.10546875
2021-02-10,47145.56640625,43881.15234375,46469.76171875,44918.18359375,87301089896,44918.18359375
2021-02-11,48463.46875,44187.76171875,44898.7109375,47909.33203125,81388911810,47909.33203125
2021-02-12,48745.734375,46424.9765625,47877.03515625,47504.8515625,76555041196,47504.8515625
2021-02-13,48047.74609375,46392.28125,47491.203125,47105.515625,70250456155,47105.515625
2021-02-14,49487.640625,47114.5078125,47114.5078125,48717.2890625,71248675228,48717.2890625
2021-02-15,48875.5703125,46347.4765625,48696.53515625,47945.05859375,77069903166,47945.05859375
2021-02-16,50341.1015625,47201.3046875,47944.45703125,49199.87109375,77049582886,49199.87109375
2021-02-17,52533.9140625,49072.37890625,49207.27734375,52149.0078125,80820545404,52149.0078125
2021-02-18,52474.10546875,51015.765625,52140.97265625,51679.796875,52054723579,51679.796875
2021-02-19,56113.65234375,50937.27734375,51675.98046875,55888.1328125,63495496918,55888.1328125
2021-02-20,57505.2265625,54626.55859375,55887.3359375,56099.51953125,68145460026,56099.51953125
2021-02-21,58330.5703125,55672.609375,56068.56640625,57539.9453125,51897585191,57539.9453125
2021-02-22,57533.390625,48967.56640625,57532.73828125,54207.3203125,92052420332,54207.3203125
2021-02-23,54204.9296875,45290.58984375,54204.9296875,48824.42578125,106102492824,48824.42578125
2021-02-24,51290.13671875,47213.5,48835.0859375,49705.33203125,63695521388,49705.33203125
2021-02-25,51948.96875,47093.8515625,49709.08203125,47093.8515625,54506565949,47093.8515625
2021-02-26,48370.78515625,44454.84375,47180.46484375,46339.76171875,350967941479,46339.76171875
2021-02-27,48253.26953125,45269.02734375,46344.7734375,46188.453125,45910946382,46188.453125
2021-02-28,46716.4296875,43241.6171875,46194.015625,45137.76953125,53443887451,45137.76953125
2021-03-01,49784.015625,45115.09375,45159.50390625,49631.2421875,53891300112,49631.2421875
2021-03-02,50127.51171875,47228.84375,49612.10546875,48378.98828125,47530897720,48378.98828125
2021-03-03,52535.13671875,48274.3203125,48415.81640625,50538.2421875,53220811975,50538.2421875
2021-03-04,51735.08984375,47656.9296875,50522.3046875,48561.16796875,52343816680,48561.16796875
2021-03-05,49396.4296875,46542.515625,48527.03125,48927.3046875,48625928883,48927.3046875
2021-03-06,49147.21875,47257.52734375,48899.23046875,48912.3828125,34363564661,48912.3828125
2021-03-07,51384.3671875,48918.6796875,48918.6796875,51206.69140625,43137459378,51206.69140625
2021-03-08,52314.0703125,49506.0546875,51174.1171875,52246.5234375,48597428048,52246.5234375
2021-03-09,54824.1171875,51981.83203125,52272.96875,54824.1171875,50912227385,54824.1171875
2021-03-10,57258.25390625,53290.890625,54824.01171875,56008.55078125,57295577614,56008.55078125
2021-03-11,58091.0625,54484.59375,55963.1796875,57805.12109375,56772343595,57805.12109375
2021-03-12,57996.62109375,55376.6484375,57821.21875,57332.08984375,55689944702,57332.08984375
2021-03-13,61683.86328125,56217.97265625,57343.37109375,61243.0859375,60669829814,61243.0859375
2021-03-14,61597.91796875,59302.31640625,61221.1328125,59302.31640625,43901225564,59302.31640625
2021-03-15,60540.9921875,55393.1640625,59267.4296875,55907.19921875,66419369890,55907.19921875
2021-03-16,56833.1796875,53555.02734375,55840.78515625,56804.90234375,59749798599,56804.90234375
2021-03-17,58969.81640625,54528.62890625,56825.828125,58870.89453125,60258313191,58870.89453125
2021-03-18,60116.25,54253.578125,58893.078125,57858.921875,55746041000,57858.921875
2021-03-19,59498.375,56643.703125,57850.44140625,58346.65234375,49063873786,58346.65234375
2021-03-20,60031.28515625,58213.296875,58332.26171875,58313.64453125,50361731222,58313.64453125
2021-03-21,58767.8984375,56005.6171875,58309.9140625,57523.421875,51943414539,57523.421875
2021-03-22,58471.48046875,54288.15625,57517.890625,54529.14453125,56521454974,54529.14453125
2021-03-23,55985.44140625,53470.6953125,54511.66015625,54738.9453125,56435023914,54738.9453125
2021-03-24,57262.3828125,52514.33203125,54710.48828125,52774.265625,70567223787,52774.265625
2021-03-25,53392.38671875,50856.5703125,52726.74609375,51704.16015625,67999812841,51704.16015625
2021-03-26,55137.3125,51579.85546875,51683.01171875,55137.3125,56652197978,55137.3125
2021-03-27,56568.21484375,54242.91015625,55137.56640625,55973.51171875,47266542233,55973.51171875
2021-03-28,56610.3125,55071.11328125,55974.94140625,55950.74609375,47686580918,55950.74609375
2021-03-28,58342.09765625,55139.33984375,55947.8984375,57750.19921875,57625587027,57750.19921875
2021-03-29,59447.22265625,57251.55078125,57750.1328125,58917.69140625,54414116432,58917.69140625
2021-03-30,59930.02734375,57726.41796875,58930.27734375,58918.83203125,65520826225,58918.83203125
2021-03-31,59586.0703125,58505.27734375,58926.5625,59095.80859375,61669163792,59095.80859375
2021-04-01,60267.1875,58869.28125,59098.87890625,59384.3125,58727860620,59384.3125
2021-04-02,60110.26953125,57603.890625,59397.41015625,57603.890625,59641344484,57603.890625
2021-04-03,58913.74609375,57168.67578125,57604.83984375,58758.5546875,50749662970,58758.5546875
2021-04-04,59891.296875,57694.82421875,58760.875,59057.87890625,60706272115,59057.87890625
2021-04-05,59479.578125,57646.80859375,59171.93359375,58192.359375,66058027988,58192.359375
2021-04-06,58731.14453125,55604.0234375,58186.5078125,56048.9375,75645303584,56048.9375
2021-04-07,58338.73828125,55879.0859375,56099.9140625,58323.953125,53053855641,58323.953125
2021-04-08,58937.046875,57807.86328125,58326.5625,58245.00390625,46655208546,58245.00390625
2021-04-09,61276.6640625,58038.70703125,58253.77734375,59793.234375,58238470525,59793.234375
2021-04-10,60790.5546875,59289.796875,59846.23046875,60204.96484375,46280252580,60204.96484375
2021-04-11,61253.03515625,59589.875,60175.9453125,59893.453125,51828688519,59893.453125
2021-04-12,63742.28515625,59869.95703125,59890.01953125,63503.45703125,69983454362,63503.45703125
2021-04-13,64863.09765625,61554.796875,63523.75390625,63109.6953125,77451779687,63109.6953125
